Number,Date,City,Type of Land,Block,Land ID,Area ( m2),Price ( kd),Lat / Long,1- Street ( Y / N),  Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration Date,ruinous,Rented,Number Of Unit,Income,Additional information
1,2011/10/08,Funtaitees,Residential,1,193,500,175000,"29.229838, 48.095395",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011/09/13,Funtaitees,Residential,1,386,400,200000,"29.227168, 48.095032",0,1,0,0,0,0,0,16,25,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011/09/14,Almansouriya,Residential,2,230,1500,1300000,"29.354892, 47.997266",0,0,1,0,1,0,1,30,50,12,3,5,12,0,0,0,0,0,0,0,0,0,0,0
4,2011/05/10,Funtaitees,Residential,1,359,400,173000,"29.228453, 48.096277",1,0,0,0,1,0,0,16,25,4,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0
5,2011/09/25,Almesayel,Residential,5,232,400,180000,"29.232177, 48.085599",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011/09/23,Funtaitees,Residential,7,64,400,165000,"29.217829, 48.092245",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011/03/11,Sabah Al-Ahmed Marine City,Residential,3B,794,645,185000,"28.664989, 48.327966",0,1,0,0,0,0,0,23.4,0,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2011/03/11,Sabah Al-Ahmed Marine City,Residential,3B,3281,460,130000,"28.678348, 48.342892",0,1,0,0,0,0,0,15.3,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2011/10/18,Abu Ftaira,Residential,7,57,400,200000,"29.192109, 48.100908",0,1,0,0,0,1,1,16,25,5,4,0,10,0,0,0,0,0,0,0,0,0,0,0
10,2011/03/11,Sabah Al-Ahmed Marine City,Residential,3B,3813,480,140000,"28.662315, 48.325208",0,1,0,0,0,0,0,15,0,6,10,0,0,1,0,0,0,0,0,0,0,0,0,0
11,2011/11/15,Abu Ftaira,Residential,2,471,400,160000,"29.197036, 48.099222",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011/11/15,Abu Ftaira,Residential,2,473,400,160000,"29.197002, 48.099045",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2011/11/15,Abu Ftaira,Residential,2,475,400,190000,"29.196982, 48.098891",0,0,1,0,0,0,0,16,25,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0
