No,City,Location,Area (sq.m),Type,Price,Bedroom,Bathrooms,Furnished,Street Access,Total Yard Area (sq.m),Pool,Lift,Sea,Playground,School,Hospital,Mosque,Mall,Indoor Pool,Outdoor Pool,Gym,Parking,Bank/Atm,Pharmacy,Restaurant,Supermarket,Laundry Room,Maid Room,Kitchen Furnished,Heating,Balcony,Jacuzzi,Solar Panels,Garden,Garage,Storage
6,Chicago,Downtown,831,Villa,89862,7,6,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1
7,New York,Lakeview,1025,Apartment,104768,4,6,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
8,New York,Beachfront,375,Apartment,143426,6,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1
9,New York,Suburb,479,Apartment,159783,6,2,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
10,Chicago,Downtown,703,Apartment,110630,7,2,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
11,Los Angeles,Downtown,774,Apartment,149312,6,4,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
12,San Francisco,Lakeview,944,Villa,67867,1,7,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
13,San Francisco,Hillside,565,Villa,178612,5,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1
14,Miami,Suburb,530,Villa,68177,7,3,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
15,Los Angeles,Suburb,848,Villa,56283,4,4,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
16,New York,Lakeview,376,Apartment,87107,5,7,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0
17,San Francisco,Hillside,440,Apartment,135973,3,6,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1
18,New York,Downtown,788,Apartment,121996,7,6,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1
19,Chicago,Hillside,620,Apartment,186574,2,2,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
20,Los Angeles,Lakeview,719,Villa,155053,7,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
21,Chicago,Downtown,1035,Villa,50422,4,4,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
22,New York,Lakeview,997,Villa,160774,4,6,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1
23,New York,Suburb,366,Apartment,66134,1,2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
